trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-101.12924611628655,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-78.38502808681761,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-39.004327117555704,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,0,-112.11064859236483,"{0: 22, 1: 4, 2: 6, 3: 3, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-124.75280142444869,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-103.28307651700754,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,1,-43.660909974948275,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-36.09386461861682,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-28.240042695790894,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-3.341146355676182,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-133.36958475561303,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,1,-53.64415468388039,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-52.67678231938173,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-47.9569753109445,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",35,0,-7.366217020661088,"{0: 32, 1: 1, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,11,7.301115604576234,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-42.299529429669725,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,4,-26.142626667133193,"{0: 20, 1: 0, 2: 6, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,4.377672037368299,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,1,30.783018819849275,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,11,25.20766937298697,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",35,26,15.714366965283997,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,9,-0.5766703559042983,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,11,-105.19772014939014,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 3}",1
5,True,"{'a': 0, 'e': 0}",20,6,-12.559002287360103,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,11,27.31778133699908,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,7,28.20919330183565,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,30.0486665336721,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
